项目代码,项目状态,办理时间,项目名称,审批监管事项,办理状态,管理部门,projectuuid,SENDID
2210-330851-04-01-656814,,2022-11-09 16:46:37.0,吉瓦级钙钛矿太阳能电池产业基地项目（一期年产1GW钙钛矿光伏组件）,企业投资（含外商投资）项目备案（基本建设）,已办结,衢州智造新城管理委员会,4e28d349bdc04c87a6fa7d166188a5a0,e204a94d1b6949149a19399b19ea35d1
2211-330324-04-01-851196,,2022-11-09 16:27:59.0,永嘉县嘉宁饰品厂屋顶23.435kw分布式光伏发电项目。,企业投资（含外商投资）项目备案（基本建设）,已办结,永嘉县发展和改革局,44e096128ff74789b6a9260d6453c8bf,8778c7e3f3c749849c1e451b5ab31370
2211-330324-04-01-251875,,2022-11-09 16:25:49.0,温州远达机械科技有限公司厂区屋顶248KW分布式光伏发电项目,企业投资（含外商投资）项目备案（基本建设）,已办结,永嘉县发展和改革局,ee96376f267b493db84944b95426ca9a,b36e7177a41e4c37a7a80a24b23af95c
2211-330324-04-01-633046,,2022-11-09 16:24:23.0,朝瑞电气有限公司690kw分布式光伏发电项目,企业投资（含外商投资）项目备案（基本建设）,已办结,永嘉县发展和改革局,e77a6f39761e4b9ca6ea93fcb370ce57,0e7e8591399742de9e3ebc2c8a80ee2d
2211-330324-04-01-943908,,2022-11-09 16:22:50.0,浙江红依利鞋业有限公司企业屋顶249KW分布式光伏发电项目,企业投资（含外商投资）项目备案（基本建设）,已办结,永嘉县发展和改革局,48eb0ca473504bdbb232379baec837f1,7b2e3fe0c5934c0f8f95d2f6583d3d6a
2211-330522-04-01-151564,,2022-11-09 16:00:19.0,长兴南庄物业管理有限公司2号厂房屋顶460KW分布式光伏发电采购及伴随服务项目设备采购及配套,企业投资（含外商投资）项目备案（基本建设）,已办结,浙江长兴经济技术开发区管理委员会,dd6ca97d73a04c7abca6b1760209c255,32a7360550f840fc87eb6fcc286d6fa4
2211-330784-04-01-251154,,2022-11-09 15:55:19.0,永康市钢信车床加工厂249.7kWp分布式光伏发电(丰宏家具)项目,企业投资（含外商投资）项目备案（基本建设）,已办结,市发展和改革局,29169aaa8c144affb82fc907d6c7f31c,debc2f26006940cbbb66b8a7cdb8f3a2
2211-330482-04-01-399206,,2022-11-09 15:51:09.0,毕恩熙（浙江）食品有限公司788.7kWp分布式光伏项目,企业投资（含外商投资）项目备案（基本建设）,已办结,市发展和改革局,eb5e65ba975f41cebdf79943e27b639f,8673c4992edb4611a9bb2ececc0d4515
2211-330683-04-01-115495,,2022-11-09 15:50:22.0,嵊州市盛发丝织有限公司400KWP光伏发电项目,企业投资（含外商投资）项目备案（基本建设）,已办结,嵊州市发展和改革局,d965e9e5b4b04e14bba49a43b1693f90,4da7a4585ddb43fb854c4e10aa47d8c6
2211-330604-99-01-552283,,2022-11-09 15:49:58.0,浙江中意玻璃钢有限公司399.75kWp屋顶分布式光伏项目,企业投资（含外商投资）项目备案（基本建设）,已办结,绍兴市上虞区杭州湾上虞经济技术开发区管理委员会,b45087b4a5cb4fe9a6e8468d1805026b,5a41c23afc1542a9adbbf0bf8d3d87f8
2209-331022-04-01-958108,,2022-11-09 15:49:30.0,中核三门200MWp滩涂光伏项目220kV送出工程,生产建设项目水土保持方案审批（登记表）,已办结,台州市三门县水利局,f67fd3b4d5e348d492cde9be0bb803de,1dd0c3a58c3742ad91b3ed7e63c2aeef
2211-331022-04-01-395066,,2022-11-09 15:48:42.0,台州维多离合器有限公司（梅村村）0.8MW屋顶分布式光伏项目,企业投资（含外商投资）项目备案（基本建设）,已办结,台州市三门县发展和改革局,7af89f9db2514e519c7da232a8d0eb85,c45140a4417341df9e3ec5dd23c550fb
2211-331022-04-01-995276,,2022-11-09 15:48:30.0,台州维多离合器有限公司（下胡村）0.4MW屋顶分布式光伏项目,企业投资（含外商投资）项目备案（基本建设）,已办结,台州市三门县发展和改革局,390a04b441654e75a7dc80ceb0817f18,4b90a50e47014f29a554cf63b9877ce1
